지역번호,지역명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속지점,최대순간풍속(m/s),최대순간풍속지점
0,전국, 1993-02,2.6,22.7,고산,29.5,고산
0,전국, 1993-01,2.1,23.7,고산,36.4,울릉도
0,전국, 1992-12,2.1,23.8,고산,30.6,고산
0,전국, 1992-11,2,23.5,고산,30.8,고산
0,전국, 1992-10,1.7,19.2,군산,25.7,군산
0,전국, 1992-09,1.8,29.7,울릉도,51,울릉도
0,전국, 1992-08,1.8,16.7,울진,26.5,울릉도
0,전국, 1992-07,2,16.7,"대관령,서산",26.8,울릉도
0,전국, 1992-06,1.9,18.3,대관령,28.3,울릉도
0,전국, 1992-05,2.2,18.3,울릉도,32.5,울릉도
0,전국, 1992-04,2.4,25,군산,40.2,울릉도
0,전국, 1992-03,1.9,16.7,군산,24.1,울릉도
0,전국, 1992-02,2.2,23.7,고산,30.2,고산
0,전국, 1992-01,2,25.2,고산,31,울릉도
